Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.9375, 0.0, 0.0
1, -0.968181640625, 0.968181640625, -1.9218505859375, 0.08744677734375, 8.243288658559323e-08
1.5, -0.9281376953125, 0.9281376953125, -1.8311328125, 0.4471659722222224, 4.545939279099305e-08
2, -0.7543896484375, 0.7543896484375, -1.4873994140625, 2.0053394443359376, 1.9931210845243188e-07
2.25, -0.370578125, 0.370578125, -1.1244580078125, 6.059775443672839, 2.219665861424105e-06
2.5, -0.179724609375, 0.179724609375, -0.8714873046875, 5.208111619375, 1.6073741433024407e-06
2.75, -0.1558916015625, 0.1558916015625, -0.7171796875, 4.224006371900827, 8.426630245136821e-07
3, -0.097654296875, 0.097654296875, -0.5996376953125, 3.451361180121528, 5.514543087532122e-07
3.5, -0.0564873046875, 0.0564873046875, -0.451388671875, 2.3838943609693883, 3.0686061414985023e-07
4, -0.062697265625, 0.062697265625, -0.3536650390625, 1.7405453103027344, 1.716799217974767e-07
4.5, -0.0482333984375, 0.0482333984375, -0.2787177734375, 1.231318161844136, 1.0293782214967557e-07
5, -0.049888671875, 0.049888671875, -0.2269970703125, 0.9957129648437502, 7.085138194262981e-08
5.5, -0.0516904296875, 0.0516904296875, -0.1835185546875, 0.8049761197055784, 5.318043151608675e-08
6, -0.0450732421875, 0.0450732421875, -0.1485625, 0.6811585954861111, 4.169713518220104e-08
