Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.875, 0.0, 0.0
1, -0.9376171875, 0.9376171875, -1.84812890625, 0.08969310937500001, 1.2297958135604857e-06
1.5, -0.87144140625, 0.87144140625, -1.74988671875, 0.3932649930555556, 1.6389300955666433e-06
2, -0.73230078125, 0.73230078125, -1.43579296875, 0.88225793359375, 1.2419897243380546e-06
2.25, -0.43837890625, 0.43837890625, -1.10937109375, 1.142287033950617, 4.003844879291675e-06
2.5, -0.25095703125, 0.25095703125, -0.86605078125, 1.0401007975, 3.831133723258973e-06
2.75, -0.16782421875, 0.16782421875, -0.7079609375, 0.7740647851239669, 1.929518136111173e-06
3, -0.139921875, 0.139921875, -0.59966796875, 0.6790100260416666, 1.4105558395385741e-06
3.5, -0.1050703125, 0.1050703125, -0.45547265625, 0.43949719260204084, 7.508229138899822e-07
4, -0.09603125, 0.09603125, -0.35901171875, 0.33462534277343753, 4.223677217960358e-07
4.5, -0.08940234375, 0.08940234375, -0.2881328125, 0.25947944135802464, 3.0545280450656094e-07
5, -0.08639453125, 0.08639453125, -0.2341875, 0.20843481000000005, 1.977673900127411e-07
5.5, -0.079984375, 0.079984375, -0.192875, 0.16269350413223144, 1.6759981202685147e-07
6, -0.07933203125, 0.07933203125, -0.15608203125, 0.13783383289930556, 1.267389448152648e-07
