Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.875, 0.0, 0.0
1, -0.93712890625, 0.93712890625, -1.84712109375, 0.090253609375, 1.0098807513713837e-06
1.5, -0.8871171875, 0.8871171875, -1.74974609375, 0.3560192708333334, 8.039420975579155e-07
2, -0.6623046875, 0.6623046875, -1.4012890625, 1.3638636718750001, 5.43816015124321e-06
2.25, -0.48590234375, 0.48590234375, -1.11512109375, 1.210731972222222, 2.667934035077507e-06
2.5, -0.1891171875, 0.1891171875, -0.8577890625, 1.10262291, 4.327023525238037e-06
2.75, -0.1560078125, 0.1560078125, -0.70666015625, 0.804851188016529, 2.5068872467545435e-06
3, -0.13451171875, 0.13451171875, -0.60381640625, 0.6714758177083334, 1.8722407519817353e-06
3.5, -0.111140625, 0.111140625, -0.45392578125, 0.44704461096938775, 6.947704626589406e-07
4, -0.09705859375, 0.09705859375, -0.359859375, 0.31106115624999997, 4.3785495869815347e-07
4.5, -0.09046484375, 0.09046484375, -0.28959375, 0.2576647407407408, 3.103764248482975e-07
5, -0.0842890625, 0.0842890625, -0.236515625, 0.19585231, 2.0852555751800536e-07
5.5, -0.08128515625, 0.08128515625, -0.192625, 0.16413980165289255, 1.6698809596132645e-07
6, -0.08143359375, 0.08143359375, -0.16196875, 0.13533363888888894, 1.2775559475024544e-07
