Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.875, 0.0, 0.0
1, -0.9440859375, 0.9440859375, -1.84795703125, 0.08067298437499999, 5.150259733200073e-07
1.5, -0.87480078125, 0.87480078125, -1.74944140625, 0.3650177152777777, 1.281478656662835e-06
2, -0.70933203125, 0.70933203125, -1.41765625, 1.042365625, 2.0094817802309994e-06
2.25, -0.37108984375, 0.37108984375, -1.08776953125, 1.5282130833333332, 8.789798353925164e-06
2.5, -0.22880859375, 0.22880859375, -0.85795703125, 1.0352780775000001, 4.375450015068055e-06
2.75, -0.15083203125, 0.15083203125, -0.705453125, 0.8412371570247932, 2.722650445197239e-06
3, -0.12263671875, 0.12263671875, -0.60058203125, 0.5958090260416667, 1.616269267267651e-06
3.5, -0.1101640625, 0.1101640625, -0.456453125, 0.4211531836734694, 7.328724277262785e-07
4, -0.1028359375, 0.1028359375, -0.3602890625, 0.30874926171875006, 4.338505193591118e-07
4.5, -0.08632421875, 0.08632421875, -0.2871328125, 0.2459613919753087, 2.9819570794517617e-07
5, -0.08365625, 0.08365625, -0.23648046875, 0.204219049375, 2.3400657653808595e-07
5.5, -0.08272265625, 0.08272265625, -0.191859375, 0.16226061157024793, 1.6049281723243146e-07
6, -0.0805703125, 0.0805703125, -0.16076953125, 0.13628921484375, 1.2877262632052106e-07
