Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.9375, 0.0, 0.0
1, -0.975236328125, 0.975236328125, -1.9222880859375, 0.08950027734375, 3.058828227221966e-08
1.5, -0.9107568359375, 0.9107568359375, -1.829189453125, 0.4147637152777778, 8.02184920758009e-08
2, -0.72294921875, 0.72294921875, -1.484216796875, 2.48514233984375, 4.0794047527015207e-07
2.25, -0.39590234375, 0.39590234375, -1.1311259765625, 6.220179375771605, 2.180743620719439e-06
2.5, -0.2457998046875, 0.2457998046875, -0.8884443359375, 5.644230444374999, 1.1134256719797847e-06
2.75, -0.1101064453125, 0.1101064453125, -0.714693359375, 4.796982584710744, 1.1322354235309213e-06
3, -0.0857822265625, 0.0857822265625, -0.6024091796875, 3.93541202734375, 6.457575347998903e-07
3.5, -0.0627529296875, 0.0627529296875, -0.4490400390625, 2.3758799461096936, 2.709785255470446e-07
4, -0.0614814453125, 0.0614814453125, -0.35204296875, 1.7149736171875, 1.5544376659090633e-07
4.5, -0.04853125, 0.04853125, -0.2792861328125, 1.2925811880787037, 1.0180665534219623e-07
5, -0.049365234375, 0.049365234375, -0.2244169921875, 1.0172725298437504, 6.99844490736723e-08
5.5, -0.0431669921875, 0.0431669921875, -0.18144140625, 0.810410173553719, 5.293748027468023e-08
6, -0.0502890625, 0.0502890625, -0.14816796875, 0.6734522378472221, 4.032256785366271e-08
