Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.875, 0.0, 0.0
1, -0.92504296875, 0.92504296875, -1.8466328125, 0.1558024375, 2.790548771619797e-06
1.5, -0.903, 0.903, -1.755359375, 0.3363723333333333, 5.458961062961155e-07
2, -0.7135703125, 0.7135703125, -1.41730078125, 1.0216318710937498, 1.4861056506633757e-06
2.5, -0.23309765625, 0.23309765625, -0.85970703125, 1.1887694375, 4.169340472221374e-06
2.75, -0.15224609375, 0.15224609375, -0.7058046875, 0.8568748016528925, 2.0761504646175167e-06
3, -0.1459609375, 0.1459609375, -0.6039765625, 0.596100826388889, 1.5660790734820896e-06
3.5, -0.1098125, 0.1098125, -0.45762109375, 0.4067196415816326, 7.74445475364218e-07
4, -0.09678125, 0.09678125, -0.35722265625, 0.31413222558593745, 4.2987954616546633e-07
4.5, -0.08909375, 0.08909375, -0.28955078125, 0.2579717399691358, 2.946988094000169e-07
5, -0.08073828125, 0.08073828125, -0.23388671875, 0.21490085937500003, 2.1348886370658876e-07
5.5, -0.0851171875, 0.0851171875, -0.193875, 0.1722069090909091, 1.6177971500995733e-07
6, -0.0760078125, 0.0760078125, -0.16028515625, 0.14038364192708333, 1.3688722915119597e-07
